name,allegiances,death year,book of death,death chapter,book intro chapter,gender,nobility,got,cok,sos,ffc,dwd,S.No,actual,pred,alive,plod,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
Clubfoot Karl,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1,961,0,1,0.7959999999999999,0.204,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.026755853,0
Clydas,Night's Watch,,,,41.0,1,0,1,0,1,1,1,1857,1,1,0.6659999999999999,0.33399999999999996,,1,,240.0,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,65.0,0,0,0,0.063545151,1
Cohollo,None,298.0,1.0,64.0,11.0,1,0,1,0,0,0,0,1485,0,0,0.096,0.904,Bloodrider,1,Dothraki,,298299.0,,,,Khal,,1,0,0,0,0,,,,,0,0,,0,0,0,0.033444816,0
Coldhands,None,,,,46.0,1,0,0,0,1,0,1,1945,1,1,0.637,0.363,,1,,,,,,,Three-eyed crow,,0,0,1,1,1,,,,,0,0,,0,0,0,0.130434783,1
Colemon,House Arryn,,,,34.0,1,0,1,0,1,1,0,1673,1,0,0.461,0.539,Maester,1,,,,,,,House Arryn,,1,1,1,1,1,,,,,0,1,,0,0,0,0.066889632,1
Colen of Greenpools,House Baratheon,,,,22.0,1,1,0,1,0,0,0,420,1,1,0.7240000000000001,0.276,Ser,1,,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,0,0,0.016722408,1
Conn,Lannister,298.0,1.0,62.0,42.0,1,0,1,0,0,0,0,422,0,1,0.9079999999999999,0.092,,1,Vale mountain clans,,298.0,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0
Conwy,Night's Watch,,,,6.0,1,0,0,1,0,0,0,962,1,1,0.773,0.22699999999999998,,0,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.026755853,1
Corliss Penny,Baratheon,,,,26.0,1,0,0,0,0,0,1,965,1,1,0.968,0.032,Ser,0,,,,,,,House Penny,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1
Cortnay Penrose,Baratheon,299.0,2.0,42.0,31.0,1,1,0,1,0,0,0,1486,0,0,0.33899999999999997,0.6609999999999999,Ser,1,,,299.0,,,,House Penrose,,0,1,1,0,0,,,,,0,1,,0,0,0,0.160535117,0
Cotter Pyke,Night's Watch,,,,48.0,1,0,0,0,1,0,0,1487,1,1,0.9470000000000001,0.053,Eastwatch-by-the-Sea,1,Ironborn,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,1,,0,0,0,0.150501672,1
Cragorn,House Greyjoy,300.0,4.0,29.0,19.0,1,0,0,0,0,1,0,1488,0,1,0.504,0.496,,1,,,300.0,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,0
Craster,None,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0,1192,0,1,0.529,0.47100000000000003,,1,Free Folk,,299.0,,,,,,0,1,1,1,1,,,,,0,0,,0,0,0,0.17056856199999998,0
Cregan Karstark,Stark,,,,44.0,1,1,0,0,0,0,1,427,1,0,0.09300000000000001,0.907,,1,Northmen,249.0,,,,,House Karstark,,0,0,0,0,1,,,,,0,0,56.0,0,0,0,0.066889632,1
Creighton Longbough,None,,,,4.0,1,0,0,0,0,1,0,1490,1,1,0.7959999999999999,0.204,Ser,1,,240.0,,,,,,,0,0,0,1,0,,,,,0,1,65.0,0,0,0,0.046822742,1
Cressen,Baratheon,299.0,1.0,0.0,0.0,1,0,0,1,0,0,0,1491,0,1,0.747,0.253,Maester,1,,219.0,299.0,,,,,,0,1,1,1,0,,,,,0,1,80.0,0,0,0,0.18394648800000002,0
Cuger,Night's Watch,,,,,1,0,1,0,0,0,0,967,1,1,0.975,0.025,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.006688963000000001,1
Cutjack,None,,,,5.0,1,0,0,1,0,0,0,428,1,0,0.193,0.807,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.033444816,1
Daario Naharis,Targaryen,,,,42.0,1,0,0,0,1,0,1,1492,1,0,0.105,0.895,,1,Tyroshi,,,,,,Stormcrows,,0,0,1,1,1,,,,,0,0,,0,0,0,0.22073578600000002,1
Dacey Mormont,Stark,299.0,3.0,51.0,63.0,0,1,1,0,1,0,0,1860,0,1,0.843,0.157,,0,Northmen,252.0,299.0,,,,House Mormont,,1,1,1,1,1,,,,,0,0,47.0,0,0,0,0.086956522,0
Daemon Sand,Martell,,,,38.0,1,0,0,0,1,0,1,1905,1,0,0.493,0.507,Ser,1,Dornish,,,,,,House Allyrion,,0,0,1,1,1,,,,,0,1,,0,0,0,0.073578595,1
Daenerys Targaryen,House Targaryen,,,,3.0,0,1,1,1,1,0,1,1678,1,0,0.047,0.953,Andals,0,Valyrian,284.0,,,,,House Targaryen,Drogo,1,1,1,1,1,,,,0.0,1,1,21.0,15,1,1,1.0,1
Dagmer,House Greyjoy,,,,11.0,1,0,0,1,0,0,0,1493,1,1,0.8340000000000001,0.166,Foamdrinker,1,Ironborn,,,,,,House Greyjoy,,0,1,0,1,1,,,,,0,1,,0,0,0,0.12040133800000001,1
Dalbridge,Night's Watch,299.0,2.0,53.0,43.0,1,0,0,1,0,0,0,975,0,0,0.315,0.685,,1,,254.0,299.0,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,45.0,0,0,0,0.050167224,0
Dale Seaworth,Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0,1193,0,1,0.785,0.215,Wraith,1,,,299.0,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.070234114,0
Dalla,Wildling,300.0,3.0,76.0,73.0,0,1,0,0,1,0,0,1496,0,1,0.737,0.263,,0,Free Folk,,300.0,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.086956522,0
Dalla (Dragonstone),Baratheon,,,,0.0,0,0,0,1,0,0,0,442,1,1,0.855,0.145,,0,,,,,,,House Baratheon of Dragonstone,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1
Damon Dance-for-Me,None,,,,12.0,1,0,0,0,0,0,1,1900,1,1,0.649,0.35100000000000003,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.033444816,1
Damon Vypren,None,,,,49.0,1,1,0,0,1,0,0,978,1,1,0.841,0.159,Ser,0,,265.0,,,,,House Vypren,,0,1,1,1,0,,,,,0,1,40.0,0,0,0,0.157190635,1
Dancy,None,,,,29.0,0,0,0,1,0,0,0,979,1,1,0.915,0.085,,0,,,,,,,Chataya's brothel,,0,1,1,1,1,,,,,0,0,,0,0,0,0.040133779,1
Danwell Frey,None,,,,59.0,1,1,1,1,1,1,0,983,1,0,0.499,0.501,Ser,1,,252.0,,,,,House Frey,Wynafrei Whent,1,1,1,1,1,,,,1.0,1,1,53.0,0,0,0,0.18060200699999998,1
Dareon,Night's Watch,300.0,4.0,34.0,19.0,1,0,1,0,0,1,0,980,0,1,0.6759999999999999,0.324,,1,,,300.0,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.16722408,0
Daryn Hornwood,Stark,298.0,1.0,63.0,63.0,1,1,1,0,0,0,0,982,0,0,0.078,0.922,,1,Northmen,,298.0,,,,House Hornwood,,1,0,0,0,1,,,,,0,0,,0,0,0,0.086956522,0
Daven Lannister,House Lannister,,,,12.0,1,1,0,0,0,1,0,1680,1,0,0.157,0.843,Ser,1,Westerman,273.0,,,,,House Lannister,,1,1,1,1,1,,,,,0,1,32.0,0,0,0,0.20735786,1
Davos Seaworth,Baratheon,,,,0.0,1,1,0,1,1,0,1,1684,1,0,0.08199999999999999,0.9179999999999999,Ser,1,Westeros,260.0,,,,,House Seaworth,Marya Seaworth,0,1,1,1,1,,,,1.0,1,1,45.0,1,1,1,0.969899666,1
Del,Wildling,299.0,3.0,41.0,41.0,1,0,0,0,1,0,0,449,0,1,0.9329999999999999,0.067,,0,Free Folk,283.0,299.0,,,,,,0,0,1,1,0,,,,,0,0,16.0,0,0,0,0.013377926000000002,0
Delp,House Tully,299.0,3.0,20.0,39.0,1,0,0,1,1,0,0,987,0,1,0.7879999999999999,0.212,,0,,,299.0,,,,House Tully,,0,1,1,1,1,,,,,0,0,,0,0,0,0.013377926000000002,0
Denys Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0,453,1,1,0.997,0.003,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
Denys Mallister,Night's Watch,,,,48.0,1,1,0,0,1,0,0,1194,1,1,0.8140000000000001,0.18600000000000003,Ser,1,,245.0,,,,,House Mallister,,1,1,1,1,1,,,,,0,1,60.0,0,0,0,0.130434783,1
Dermot,Baratheon,,,,65.0,1,0,0,1,0,1,0,991,1,1,0.9890000000000001,0.011000000000000001,Ser,0,,,,,,,House Baratheon of Dragonstone,,0,1,1,1,0,,,,,0,1,,0,0,0,0.023411371,1
Desmond,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0,992,0,0,0.20199999999999999,0.7979999999999999,,0,,,298.0,,,,House Stark,,1,1,0,0,1,,,,,0,0,,0,0,0,0.043478261,0
Desmond Grell,Tully,,,,7.0,1,1,0,1,1,1,0,1924,1,1,0.57,0.43,Ser,0,,237.0,,,,,House Grell,,1,1,1,1,0,,,,,0,1,68.0,0,0,0,0.076923077,1
Devan Seaworth,Baratheon,,,,10.0,1,1,0,1,1,0,1,1925,1,0,0.353,0.647,,1,,287.0,,,,,House Seaworth,,0,1,1,1,1,,,,,0,0,18.0,0,0,0,0.093645485,1
Deziel Dalt,Martell,,,,38.0,1,1,0,0,1,0,1,994,1,1,0.978,0.022000000000000002,Knight,1,,,,,,,House Dalt,,0,0,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
Dhazzar,None,,,,2.0,1,1,0,0,0,0,1,456,1,1,0.92,0.08,Cupbearer,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.013377926000000002,1
Dick Crabb,None,300.0,4.0,20.0,9.0,1,0,0,0,0,1,0,1681,0,1,0.7829999999999999,0.217,,1,,,300.0,,,,House Crabb,,0,0,0,1,0,,,,,0,0,,0,0,0,0.070234114,0
Dick Follard,Night's Watch,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0,457,0,0,0.193,0.807,,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.030100334,0
Dickon Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0,458,1,1,0.976,0.024,,1,,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,0,,0,0,0,0.026755853,1
Dirk,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1,997,0,1,0.813,0.187,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,0
Dobber,None,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0,459,0,0,0.183,0.8170000000000001,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.026755853,0
Donal Noye,Night's Watch,300.0,3.0,64.0,19.0,1,0,1,1,1,0,0,1682,0,1,0.574,0.426,,1,,244.0,300.0,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,56.0,0,0,0,0.140468227,0
Donella Hornwood,Stark,299.0,2.0,35.0,16.0,0,1,0,1,0,0,0,462,0,0,0.106,0.894,Hornwood,0,Northmen,249.0,299.0,,,,House Manderly,Halys Hornwood,0,1,0,0,1,,,,0.0,1,1,50.0,0,0,0,0.096989967,0
Donnel Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0,460,1,1,0.996,0.004,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
Donnel Haigh,None,,,,49.0,1,1,0,0,1,0,0,999,1,1,0.7959999999999999,0.204,Ser,1,,255.0,,,,,House Haigh,,0,1,1,1,0,,,,,0,1,50.0,0,0,0,0.086956522,1
Donnel Hill,Night's Watch,,,,0.0,1,0,0,0,1,0,1,463,1,1,0.813,0.187,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
Donnel Locke,Stark,299.0,3.0,51.0,25.0,1,1,0,1,1,0,0,1001,0,1,0.7,0.3,Ser,0,,,299.0,,,,House Locke,,0,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0
Donnel Waynwood,Tully,,,,34.0,1,1,1,0,0,0,0,1002,1,1,0.57,0.43,Ser,0,,277.0,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,28.0,0,0,0,0.060200669000000005,1
Donnis,House Stark,,,,7.0,1,0,1,0,0,0,0,464,1,1,0.769,0.231,,0,Northmen,,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1
Dontos Hollard,None,300.0,3.0,61.0,57.0,1,1,1,1,1,0,0,1191,0,0,0.42100000000000004,0.579,Ser,1,,261.0,300.0,,,,House Hollard,,1,1,1,1,0,,,,,0,1,39.0,0,0,0,0.23076923100000002,0
Donyse,None,,,,72.0,0,0,0,0,1,0,0,465,1,1,0.7240000000000001,0.276,Septa,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1
Doran Martell,Martell,,,,2.0,1,1,0,0,0,1,1,1497,1,0,0.17800000000000002,0.8220000000000001,Prince of Dorne,1,Dornish,247.0,,,,,House Nymeros Martell,Mellario of Norvos,1,1,1,1,1,,,,1.0,1,1,58.0,6,1,1,0.498327759,1
Doreah,House Targaryen,299.0,2.0,12.0,11.0,0,0,1,1,0,0,0,1685,0,0,0.253,0.747,,0,Lysene,278279.0,299.0,,,,House Targaryen,,1,1,0,0,1,,,,,0,0,-277980.0,0,0,0,0.11036789300000001,0
Dornish Dilly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0,467,0,1,0.746,0.254,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0
Draqaz,None,,,,2.0,1,1,0,0,0,0,1,469,1,1,0.946,0.054000000000000006,Cupbearer,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.016722408,1
Drennan,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0,470,0,1,0.769,0.231,,1,Ironborn,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0
Drogo,Targaryen,298.0,1.0,64.0,3.0,1,1,1,0,0,0,0,1920,0,0,0.035,0.965,Khal,0,Dothraki,267.0,298299.0,,,,,Daenerys Targaryen,1,1,1,0,1,,,,1.0,1,0,32.0,5,1,1,0.558528428,0
Dudley,Stark,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0,471,1,1,0.7829999999999999,0.217,Ser,1,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0,1
Dunsen,None,,,,26.0,1,0,0,1,0,0,0,1921,1,0,0.138,0.862,,1,,,,,,,House Clegane,,0,1,1,1,1,,,,,0,0,,0,0,0,0.040133779,1
Dunstan Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0,1904,1,1,0.9390000000000001,0.061,Old Wyk,1,Ironborn,212.0,,,,,House Drumm,,0,1,1,1,1,,,,,0,1,93.0,0,0,0,0.076923077,1
Duram Bar Emmon,Baratheon,,,,0.0,1,1,0,1,0,0,0,1005,1,1,0.98,0.02,Sharp Point,0,,284.0,,,,,House Bar Emmon,,0,1,1,1,0,,,,,0,1,21.0,0,0,0,0.026755853,1
Dykk Harlaw,Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0,476,0,0,0.44299999999999995,0.557,,1,,,299.0,,,,House Harlaw,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,0
Dywen,Night's Watch,,,,48.0,1,0,1,1,1,0,1,1687,1,0,0.235,0.765,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.093645485,1
Easy,Night's Watch,300.0,3.0,55.0,55.0,1,0,0,0,1,0,0,477,0,1,0.7020000000000001,0.298,,1,,,300.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0
Ebben,Night's Watch,299.0,2.0,68.0,43.0,1,0,0,1,0,0,0,1006,0,1,0.7040000000000001,0.29600000000000004,,1,,,299.0,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.043478261,0
Eddard Karstark,Stark,298.0,1.0,63.0,53.0,1,1,1,0,0,0,0,1688,0,1,0.887,0.113,,1,Northmen,,298.0,,,,House Karstark,,1,1,1,1,1,,,,,0,0,,0,0,0,0.073578595,0
Eddard Stark,House Stark,299.0,1.0,65.0,1.0,1,1,1,0,0,0,0,1689,0,0,0.445,0.555,Winterfell,1,Northmen,263.0,299.0,,,,House Stark,Catelyn Tully,1,1,1,1,1,,,,1.0,1,1,36.0,6,1,1,1.0,0
Eddison Tollett,Night's Watch,,,,13.0,1,0,0,1,1,1,1,1499,1,1,0.6759999999999999,0.324,,1,Valemen,,,,,,House Tollett,,0,1,1,1,1,,,,,0,0,,0,0,0,0.100334448,1
Edmure Tully,House Tully,,,,28.0,1,1,1,1,1,1,0,1691,1,0,0.027999999999999997,0.972,Ser,1,Rivermen,267.0,,,,,House Tully,Roslin Frey,1,1,1,1,1,,,,1.0,1,1,38.0,8,1,1,0.655518395,1
Edric Dayne,None,,,,34.0,1,1,0,0,1,0,0,1500,1,1,0.621,0.379,Lord of Starfall,1,Dornishmen,287.0,,,,,House Dayne,,1,1,1,1,0,,,,,0,1,18.0,0,0,0,0.08361204,1
Edric Storm,House Baratheon,,,,10.0,1,0,0,0,1,0,0,1195,1,0,0.43700000000000006,0.563,,1,,287.0,,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,18.0,0,0,0,0.28428093600000004,1
Edwyn Frey,None,,,,38.0,1,1,0,0,1,1,0,1501,1,1,0.7490000000000001,0.251,,1,,259.0,,,,,House Frey,Janyce Hunter,0,1,1,1,0,,,,1.0,1,0,46.0,0,0,0,0.147157191,1
Eggon,None,,,,30.0,1,0,0,1,0,0,0,483,1,0,0.13699999999999998,0.863,,1,,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1
Elder Brother,None,,,,31.0,1,0,0,0,0,1,0,1014,1,1,0.667,0.33299999999999996,Ser,1,,255.0,,,,,Faith of the Seven,,0,0,0,1,0,,,,,0,1,50.0,0,0,0,0.076923077,1
Eldred Codd,Greyjoy,,,,18.0,1,1,0,0,0,1,0,487,1,1,0.996,0.004,,1,Ironborn,,,,,,House Codd,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
Eleyna Westerling,Stark,,,,45.0,0,1,0,0,1,1,0,1694,1,1,0.8220000000000001,0.17800000000000002,,0,,287.0,,,,,House Westerling,,0,0,1,1,0,,,,,0,0,18.0,0,0,0,0.046822742,1
Elinor Tyrell,Tyrell,,,,6.0,0,1,0,0,1,1,0,1019,1,1,0.9540000000000001,0.046,,0,,286.0,,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19.0,0,0,0,0.16387959900000001,1
Ellaria Sand,Martell,,,,38.0,0,1,0,0,1,0,1,1503,1,0,0.439,0.561,,0,Dornish,,,,,,House Uller,Oberyn Martell,0,0,1,1,1,,,,0.0,1,0,,2,1,0,0.160535117,1
Elmar Frey,None,,,,59.0,1,1,1,1,1,0,0,1020,1,1,0.659,0.341,,1,,290.0,,,,,House Frey,,1,1,1,1,1,,,,,0,0,15.0,0,0,0,0.066889632,1
Elyas Willum,Baratheon,,,,22.0,1,1,0,1,0,0,0,490,1,1,0.759,0.24100000000000002,,1,,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1
Emmon Cuy,Baratheon,299.0,2.0,42.0,33.0,1,1,0,1,0,0,0,1693,0,0,0.152,0.848,Ser,1,,,299.0,,,,House Cuy,,0,1,0,0,0,,,,,0,1,,0,0,0,0.036789298,0
Emmon Frey,Lannister,,,,29.0,1,1,1,0,0,1,0,1505,1,1,0.925,0.075,Riverrun,1,,237.0,,,,,House Frey of Riverrun,Genna Lannister,1,1,1,1,1,,,,1.0,1,1,68.0,0,0,0,0.23076923100000002,1
Emmond,Greyjoy,,,,1.0,1,0,0,0,0,1,0,1701,1,1,0.995,0.005,,1,Ironborn,,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
Emrick,Night's Watch,,,,75.0,1,0,0,0,1,0,1,494,1,1,0.7959999999999999,0.204,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
Endehar,Greyjoy,,,,56.0,1,0,0,1,0,0,0,495,1,1,0.773,0.22699999999999998,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1
Elwood,House Tully,299.0,3.0,20.0,20.0,1,0,0,0,1,0,0,1021,0,1,0.982,0.018000000000000002,,0,,,299.0,,,,House Tully,,0,0,1,1,1,,,,,0,0,,0,0,0,0.016722408,0
Endrew Tarth,Night's Watch,299.0,3.0,69.0,60.0,1,0,1,0,1,0,0,1026,0,0,0.138,0.862,Ser,1,,,299.0,,,,House Tarth,,1,1,1,0,0,,,,,0,1,,0,0,0,0.066889632,0
Enger,House Tully,,,,39.0,1,0,0,1,0,0,0,497,1,0,0.2,0.8,,0,,,,,,,House Tully,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1
Eon Hunter,Arryn,300.0,3.0,80.0,38.0,1,1,1,0,1,0,0,1028,0,1,0.815,0.185,Longbow Hall,1,,,300.0,,,,House Hunter,,1,1,1,1,1,,,,,0,1,,0,0,0,0.046822742,0
Erik Ironmaker,Greyjoy,,,,19.0,1,1,0,0,0,1,0,498,1,1,0.951,0.049,Lord Steward of the Iron Islands,1,Ironborn,211.0,,,,,House Ironmaker,Asha Greyjoy,0,0,0,1,1,,,,1.0,1,1,94.0,0,0,0,0.050167224,1
Ermesande Hayford,None,,,,2.0,0,1,0,1,1,1,0,1029,1,1,0.818,0.182,Hayford,0,,298.0,,,,,House Hayford,Tyrek Lannister,0,1,1,1,1,,,,0.0,1,1,7.0,0,0,0,0.113712375,1
Eroeh,Targaryen,298.0,1.0,68.0,61.0,1,0,1,0,0,0,0,1027,0,0,0.01,0.99,,0,Lhazareen,,298.0,,,,,,1,1,0,0,1,,,,,0,0,,0,0,0,0.033444816,0
Erreck,None,,,,12.0,1,0,0,0,1,0,0,499,1,1,0.759,0.24100000000000002,Maester,1,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1
Esgred,Greyjoy,,,,24.0,1,0,0,1,0,0,0,503,1,1,0.813,0.187,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1
Ezzara,Targaryen,,,,30.0,0,0,0,0,0,0,1,506,1,1,0.987,0.013000000000000001,Blue Grace,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.006688963000000001,1
Falia Flowers,Greyjoy,,,,29.0,0,0,0,0,0,1,0,1696,1,1,0.7140000000000001,0.28600000000000003,,0,,281.0,,,,,House Hewett,,0,0,0,1,1,,,,,0,0,24.0,0,0,0,0.026755853,1
Falyse Stokeworth,Lannister,300.0,5.0,36.0,2.0,0,1,0,1,0,1,0,1699,0,1,0.639,0.361,,0,,265.0,300.0,,,,House Stokeworth,Balman Byrch,0,1,1,1,1,,,,0.0,1,0,35.0,1,1,0,0.100334448,0
Farlen,House Stark,299.0,2.0,56.0,46.0,1,0,0,1,0,0,0,1698,0,0,0.14800000000000002,0.852,,1,,,299.0,,,,House Stark,,1,1,1,0,1,,,,,0,0,,0,0,0,0.056856187,0
Flement Brax,Lannister,,,,56.0,1,1,1,0,1,1,0,1038,1,0,0.337,0.6629999999999999,Ser,1,,,,,,,House Brax,Morya Frey,1,1,1,1,1,,,,1.0,1,1,,0,0,0,0.140468227,1
Fogo,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0,512,0,1,0.5429999999999999,0.457,Khalakka,1,Dothraki,,298.0,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.02006689,0
Forley Prester,Lannister,,,,33.0,1,1,0,0,0,1,0,1036,1,1,0.614,0.386,Ser,1,,,,,,,House Prester,,1,1,1,1,0,,,,,0,1,,0,0,0,0.063545151,1
Fornio,Night's Watch,,,,33.0,1,0,0,0,1,0,0,513,1,1,0.7929999999999999,0.207,,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
Frenken,Lannister,,,,15.0,1,0,0,1,1,0,0,1039,1,1,0.818,0.182,Maester,0,,,,,,,,,0,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
Frenya,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1,515,0,0,0.213,0.787,,1,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,0
Frynne,Martell,,,,40.0,0,0,0,0,0,1,0,516,1,1,0.988,0.012,,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1
Gage,House Stark,,,,4.0,1,1,0,1,0,0,0,517,1,0,0.19899999999999998,0.8009999999999999,,0,,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,0,0,0.033444816,1
Galazza Galare,None,,,,23.0,0,1,0,0,0,0,1,1700,1,0,0.392,0.608,Green Grace,0,Ghiscari,217.0,,,,,Graces,,0,0,0,0,1,,,,,0,1,88.0,0,0,0,0.090301003,1
Galbart Glover,Stark,,,,55.0,1,1,1,0,1,0,0,1506,1,1,0.6940000000000001,0.306,Master of Deepwood Motte,1,Northmen,,,,,,House Glover,,1,1,1,1,1,,,,,0,1,,0,0,0,0.12040133800000001,1
Gared,Night's Watch,297.0,1.0,1.0,0.0,1,0,1,0,0,0,0,1703,0,0,0.073,0.927,,1,,231.0,297.0,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,66.0,0,0,0,0.093645485,0
Gariss,House Stark,,,,50.0,1,0,0,1,0,0,0,526,1,1,0.802,0.198,,1,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1
Garlan Tyrell,House Tyrell,,,,62.0,1,1,0,1,1,1,0,1705,1,0,0.293,0.7070000000000001,Ser,1,,277.0,,,,,House Tyrell of Brightwater Keep,Leonette Fossoway,1,1,1,1,1,,,,1.0,1,1,28.0,0,0,0,0.327759197,1
Garrett Paege,Lannister,,,,30.0,1,1,0,0,0,1,0,527,1,1,0.9890000000000001,0.011000000000000001,,1,,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,0,0,0.013377926000000002,1
Garse Goodbrook,None,299.0,3.0,,,1,1,0,0,1,0,0,1045,1,1,0.816,0.184,Ser,1,,,,,,,House Goodbrook,Kyra Frey,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.066889632,1
Garth Greyfeather,Night's Watch,300.0,5.0,31.0,48.0,1,0,0,0,1,0,1,1048,0,1,0.767,0.233,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.050167224,0
Garth of Greenaway,Night's Watch,300.0,5.0,4.0,33.0,1,0,0,0,1,0,1,1043,0,1,0.736,0.264,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.030100334,0
